This ,Phase,Task,Material,KitSize,QtyOrdered,Mils,CoverageRate,MixTime,MixSpeed,MatStatus,ArrivalDate,Notes
22,Day 1,"This is a 1 day charge to get as much done as possible. Number 1 priority is acid etched hole patch with TX3 and sand, When dry grind and seal with TK Bright, Scrape yellow lines with hand scrapers an",TX3 W/Sand 30 mesh,2 gallon,1,NA,Not Ordered,,,In Stock,,
22,Day 1,"This is a 1 day charge to get as much done as possible. Number 1 priority is acid etched hole patch with TX3 and sand, When dry grind and seal with TK Bright, Scrape yellow lines with hand scrapers an",TK Bright,5 gallon,1,350 Sqft per gallon,Not Ordered,,,In Stock,,
4,Daily Average Required,"Prep floor with Terrrco and hand grind all edges, Make sure to grind the inside of the joints with either a cone grinder or 4 inch grinder, There is approx 560 LF of 3/4"" joints to fill. Do not fill t",14/15 W/ Cabosil,3 gallon,5,NA,NA,3 Minutes,medium,In Stock,,
4,Daily Average Required,"Prep floor with Terrrco and hand grind all edges, Make sure to grind the inside of the joints with either a cone grinder or 4 inch grinder, There is approx 560 LF of 3/4"" joints to fill. Do not fill t",Cabosil,20 lbs,3,NA,NA,NA,NA,In Stock,,
4,Day 8,"Take pictures daily SOD, MOD, and EOD and upload to buildertrend also include How much material used if any.   Set up mix station and protect all adjacent area so we do not get anything on the walls. ",515 pigmented,5 gallon,8,10,160 Sqft per gallon,3 minutes,Medium,In Stock,,
4,Day 8,"Take pictures daily SOD, MOD, and EOD and upload to buildertrend also include How much material used if any.   Set up mix station and protect all adjacent area so we do not get anything on the walls. ",Quartz,1 lb,2250,NA,.37 lbs per Sqft,NA,NA,In Stock,,
4,Day 9,Set up mix station and protect all adjacent area so we do not get anything on the walls. Put tape on wall to mark where each mix should get to. Seperate material so we do not use the wrong material pe,Key 511 Clear,15 gallon,4,16,100 Sqft per gallon,3 Minutes,Medium,In Stock,,
4,Day 9,Set up mix station and protect all adjacent area so we do not get anything on the walls. Put tape on wall to mark where each mix should get to. Seperate material so we do not use the wrong material pe,Key 511 Clear,3 gallon,1,16,100 Sqft per gallon,3 Minutes,Medium,Not Ordered,,
4,Day 9,Set up mix station and protect all adjacent area so we do not get anything on the walls. Put tape on wall to mark where each mix should get to. Seperate material so we do not use the wrong material pe,Quartz,1 lb,2250,NA,.37 lbs per Sqft,NA,NA,In Stock,,
4,Day 10,Set up mix station and protect all adjacent area so we do not get anything on the walls. Put tape on wall to mark where each mix should get to. Seperate material so we do not use the wrong material pe,Key 512 Clear,15 gallon,4,16,100 Sqft per gallon,3 minutes,medium,In Stock,,
4,Day 10,Set up mix station and protect all adjacent area so we do not get anything on the walls. Put tape on wall to mark where each mix should get to. Seperate material so we do not use the wrong material pe,Key 512 Clear,3 gallon,1,16,100 Sqft per gallon,3 minutes,medium,Not Ordered,,
11,Day 1,"Prep floor with shot blater, Fill joints with polyurea, Prep stem wall with 4"" hand grinder and patch with ardex feather finish. Patch all holes and cracks with Ardex Feather Finish",Polyurea,10,1,NA,50 Lf per gallon,Pump,Pump,Not Ordered,,
11,Day 1,"Prep floor with shot blater, Fill joints with polyurea, Prep stem wall with 4"" hand grinder and patch with ardex feather finish. Patch all holes and cracks with Ardex Feather Finish",Ardex FF,10 lbs,1,NA,Varies,3 minutes,Medium,Not Ordered,,
11,Day 2,"Grind any patches from previos day, Set up mix station and protect all walls and doors with platsic and tape. All tape and plastic must be installed and taken down each day. Take photos of protection ",8240 Gray,3 gallon,5,8,200 Sqft per gallon,3 minutes,medium,Not Ordered,,
11,Day 2,"Grind any patches from previos day, Set up mix station and protect all walls and doors with platsic and tape. All tape and plastic must be installed and taken down each day. Take photos of protection ",chips Ash,55 lbs,8,NA,.15 lbs per Sqft,NA,NA,Not Ordered,,
11,Day 3,Set up mix station and protect walls with plastic like day before. Make sure to pull tape and plastic as you coat out of the garage do not leave for the next day as day as we will not be going back. U,8175,2 gallon,12,12,125 Sqft per gallon,3 minutes,Medium,Not Ordered,,
25,Day 1,"Hang plastic on walls and counters, Use TX3 brown color to patch all holes and cracks, Start grinding the floor with 200's & 400's wet",TX3 Brown,2 gallon,1,NA,NA,2 minutes,By Hand,Not Ordered,,
25,Day 2,"Dye floo rwith chocolate brown dye in figure 8 patterns twice. make sure to model the floor, Densify the floor with retro plate, polish floor and edges with 400's dry, guard and burnish",Retro plate,5 gallon,1,8,200 Sqft per gallon,NA,NA,Not Ordered,,
25,Day 2,"Dye floo rwith chocolate brown dye in figure 8 patterns twice. make sure to model the floor, Densify the floor with retro plate, polish floor and edges with 400's dry, guard and burnish",Chocolate brown Dye,1 gallon,1,NA,400 Sqft per gallon,NA,NA,Not Ordered,,
25,Day 2,"Dye floo rwith chocolate brown dye in figure 8 patterns twice. make sure to model the floor, Densify the floor with retro plate, polish floor and edges with 400's dry, guard and burnish",Guard,1 gallon,1,2,100 Sqft per gallon,NA,NA,Not Ordered,,
31,Daily Average Required,Be careful not to hit any wall s with the machines.  Use slow speeds and black pads and orange zep diluted 5 parts water to 1 part zep. Put Zep on the floor and broom around and use the slow speeds wi,Orange zep,5 gallon,1,NA,NA,NA,NA,Not Ordered,,